source	target	value
Aragorn	The Fellowship Of The Ring	22
Boromir	The Fellowship Of The Ring	13
Frodo	The Fellowship Of The Ring	25
Gandalf	The Fellowship Of The Ring	20
Gimli	The Fellowship Of The Ring	11
Legolas	The Fellowship Of The Ring	12
Merry	The Fellowship Of The Ring	17
Pippin	The Fellowship Of The Ring	14
Sam	The Fellowship Of The Ring	22
Aragorn	The Return Of The King	19
Frodo	The Return Of The King	17
Gandalf	The Return Of The King	23
Gimli	The Return Of The King	16
Legolas	The Return Of The King	10
Merry	The Return Of The King	12
Pippin	The Return Of The King	21
Sam	The Return Of The King	19
Aragorn	The Two Towers	20
Boromir	The Two Towers	2
Frodo	The Two Towers	15
Gandalf	The Two Towers	8
Gimli	The Two Towers	19
Legolas	The Two Towers	12
Merry	The Two Towers	15
Pippin	The Two Towers	12
Sam	The Two Towers	14
